year,state_name,ac_name,total_electors,total_valid_votes,turnout,margin,num_candidates,winner_vote_share,turnout_change,avg_turnout,turnout_volatility,low_turnout_score,negative_trend_score,volatility_score,large_electorate_penalty,priority_score
2019,Andhra Pradesh,Denduluru,220361,186989,84.86,72667,13,51.42,-1.9500000000000028,85.90333333333335,0.9821574890684985,0.13458134183041215,0.020539287971350358,0.018244034090714588,0.03392151902230313,0.0670352818439432
2009,Andhra Pradesh,Devarakonda,202733,147251,72.63,40991,7,44.07,,72.63,,0.3108072225172597,0.0,0.0,0.07198908655432941,0.13152179766233682
2009,Andhra Pradesh,Devarkadra,206309,141582,68.63,19036,14,41.37,,68.63,,0.3639139670738184,0.0,0.0,0.08579804539534235,0.1541453913690616
2009,Andhra Pradesh,Dharmapuri,193562,127744,66.0,20908,6,35.89,,71.63499999999999,6.974517904486306,0.3240175252257037,0.0,0.1295549276281832,0.07160454331226365,0.1626784499471445
2010,Andhra Pradesh,Dharmapuri,193562,127577,65.91,58891,5,67.97,-0.09000000000000341,71.63499999999999,6.974517904486306,0.3240175252257037,0.0009479671371392818,0.1295549276281832,0.07160454331226365,0.1629628400882863
2014,Andhra Pradesh,Dharmapuri,197408,146887,74.41,35890,12,46.18,8.5,71.63499999999999,6.974517904486306,0.3240175252257037,0.0,0.1295549276281832,0.07304896774543176,0.16282289239046133
2018,Andhra Pradesh,Dharmapuri,206622,165747,80.22,57024,11,42.58,5.810000000000002,71.63499999999999,6.974517904486306,0.3240175252257037,0.0,0.1295549276281832,0.07650942711288132,0.16316893832720628
2009,Andhra Pradesh,Dharmavaram,197833,148737,75.18,21397,25,41.19,,82.39666666666666,6.445217865466867,0.18113825455832888,0.0,0.11972293218593925,0.04092641266699642,0.10049252952721904
2014,Andhra Pradesh,Dharmavaram,225437,190329,84.43,83470,14,52.14,9.25,82.39666666666666,6.445217865466867,0.18113825455832888,0.0,0.11972293218593925,0.046722023865226385,0.10107209064704203
2019,Andhra Pradesh,Dharmavaram,240543,210679,87.58,84575,16,50.74,3.1499999999999915,82.39666666666666,6.445217865466867,0.18113825455832888,0.0,0.11972293218593925,0.049893611416322675,0.10138924940215167
2009,Andhra Pradesh,Dhone,197886,139516,70.5,41583,15,43.56,,74.48333333333333,4.4587928112139625,0.2862010975393874,0.0,0.08282415901381711,0.06468191379667344,0.13751346219818572
2014,Andhra Pradesh,Dhone,227903,167849,73.65,69249,14,49.86,3.1500000000000057,74.48333333333333,4.4587928112139625,0.2862010975393874,0.0,0.08282415901381711,0.07463953555886045,0.13850922437440444
2019,Andhra Pradesh,Dhone,220035,174495,79.3,62779,16,57.79,5.6499999999999915,74.48333333333333,4.4587928112139625,0.2862010975393874,0.0,0.08282415901381711,0.07202946233285895,0.1382482170518043
2009,Andhra Pradesh,Dornakal,185210,150499,81.26,57328,9,46.03,,81.26,,0.19622942113648423,0.0,0.0,0.04146504399870633,0.08263827285446433
2009,Andhra Pradesh,Dubbak,181132,142535,78.69,30378,12,37.18,,78.69,,0.23035050451407324,0.0,0.0,0.047586322878963506,0.09689883409352565
2009,Andhra Pradesh,Eluru,171341,125527,73.26,29084,9,39.8,,70.80666666666667,2.8974183911429425,0.3350150469109575,0.0,0.05382089989784582,0.0654061907636094,0.1513108178203131
2014,Andhra Pradesh,Eluru,207048,148133,71.55,56428,17,55.68,-1.710000000000008,70.80666666666667,2.8974183911429425,0.3350150469109575,0.018011375605645755,0.05382089989784582,0.07927166481976215,0.15810077790762211
2019,Andhra Pradesh,Eluru,238903,161511,67.61,51494,9,44.73,-3.9399999999999977,70.80666666666667,2.8974183911429425,0.3350150469109575,0.041499894670318074,0.05382089989784582,0.09164135916705388,0.16638430306175298
2009,Andhra Pradesh,Etcherla,187968,151801,80.76,23064,8,39.11,,82.55,1.71991278848667,0.17910249601699413,0.0,0.031948183356995605,0.03841851984580514,0.08187248706277728
2014,Andhra Pradesh,Etcherla,210400,174001,82.7,78880,8,49.29,1.9399999999999977,82.55,1.71991278848667,0.17910249601699413,0.0,0.031948183356995605,0.04307531013014516,0.08233816609121128
